"","","","par1","par2","par3"
"cv",1,101.655107435034,-3.66990353127913,3.32794951147724,-2.31350007904564
"cv",2,102.001207259696,-2.19284458289705,3.68305564970485,-0.964589152188683
"cv",3,100.047133945531,-3.05772337324251,1.08006183949051,-2.95027169907684
"cv",4,101.604128170709,0.25535638082653,1.05234155156446,-3.42485359567932
"cv",5,101.431442081141,1.54473913801733,1.45863958008502,-4.2728178878526
"cv",6,100.175099972107,-1.65560652614749,0.360640771279221,-4.6416409028186
"cv",7,101.770555062834,-2.52417470882349,2.23039757071756,-1.69312608593867
"cv",8,102.820367987423,-1.35700232251003,3.20863731443519,-0.874864486977458
