"","","","par1","par2","par3"
"cv",1,104.383233724067,2.43454483226346,-1.57246158954258,-3.49927566616465
"cv",2,112.266973921654,2.97028788551189,-1.29430775603416,-4.99996306864394
"cv",3,107.238679003187,2.60648816955062,-2.45691337888477,-3.33682714624287
"cv",4,105.610843693434,2.35034320201014,-1.50870788022241,-3.49952205023868
"cv",5,192.135982309666,-4.99997493593984,-1.57679026509384,-3.81793261168971
"cv",6,191.898844743112,0.862073611587485,3.42768563734513,-4.51650957970122
"cv",7,105.927380666606,2.3753096897275,-1.48695753050766,-3.57479185944669
"cv",8,104.146755733428,2.36923105033142,-1.73884955719507,-3.22012061761607
