"","","","par1","par2","par3"
"cv",1,103.972077083992,-0.161269958475319,4.14375771853134,-3.72611327329651
"cv",2,103.830341871279,-0.594536781677784,4.53815218148725,-4.30334397473225
"cv",3,103.940580370056,-0.847031657952728,4.77955245958078,-4.9796774925658
"cv",4,103.596874210429,-1.00975727441312,4.93688415721625,-4.18529722080638
"cv",5,107.472149596858,0.449535495892943,3.5912205943879,1.95198798765758
"cv",6,102.519486363807,1.45993098238803,3.22719600061805,-4.90947370569316
"cv",7,115.282118755054,-4.12975037343953,3.10853770857276,4.07992388848545
"cv",8,103.163798670004,-0.242148636718971,4.21684777313564,-4.51090619537248
