"","","","par1","par2","par3"
"cv",1,107.804126709818,3.50193030089869,0.843464885331964,-2.08015590764749
"cv",2,176.695521200784,3.62987974450201,4.9999979550894,-1.37101684703166
"cv",3,104.658414207609,3.85871388103141,4.99530071952647,-1.19547925616751
"cv",4,110.344727897775,3.81048774420146,4.99999852670966,-1.16641270634534
"cv",5,94.8268550801043,4.99992697091125,4.99942085578767,-1.5537768114724
"cv",6,98.3858660040444,4.99925450708491,4.99974988032067,-1.53676589991419
"cv",7,98.8481267674887,3.01505732067157,4.99977330578379,0.460579483516616
"cv",8,103.577727175201,4.99990058248719,4.99984808865224,-1.51795379128986
