"","","","par1","par2","par3"
"cv",1,103.877874499123,-0.650818042807586,4.59534972960399,-4.98254222348587
"cv",2,103.703404769158,0.0191691206802316,3.99206946951041,-4.39242519255703
"cv",3,102.333722735278,-0.686252574736979,4.62902247899294,-4.92453489991828
"cv",4,175.610524295799,-0.545592556877089,4.49040661581613,-3.22592344919077
"cv",5,103.008635139581,-0.966813024831374,4.89899201725022,-4.89951054381162
"cv",6,103.57811617541,-0.706348604724912,4.64872661187103,-4.84037307551585
"cv",7,103.972077083992,-0.0774249058716472,4.07345028403909,-4.71632139181944
"cv",8,103.621540504905,0.212514512733261,3.83756278888053,-4.74486937644667
