"","","","par1","par2","par3"
"cv",1,122.889037386048,2.29829174678324,-1.5227787364612,-4.33108847891998
"cv",2,108.891759883106,1.97075732704517,-4.99999937120834,-3.12035758243123
"cv",3,108.05458103653,1.99828618164038,-4.99992012547671,-3.14616602774015
"cv",4,110.087571292798,1.96862818616601,-4.99999737852695,-3.14127064999632
"cv",5,57.8836449784068,3.28669279009361,-4.99971625338043,-4.99998247441725
"cv",6,38.3250856342161,3.28361449530591,-4.9997438100626,-4.99998196143024
"cv",7,150.593610683925,2.14821182010289,-4.999997067534,-3.64701338288128
"cv",8,34.1393747972323,2.33534811623367,-4.99105396215932,-3.39285364580204
