"","","","par1","par2","par3"
"cv",1,113.855770901474,-1.82235648212193,-4.99999998584133,-1.57632544300153
"cv",2,91.1333597995778,-4.99998126825896,-4.99999998471001,-1.38086469371098
"cv",3,77.9577593533208,-1.15415993519018,-4.99999996069797,-1.07202660468445
"cv",4,120.146948982793,-1.55131085446887,-4.99999998631207,-1.63194738689451
"cv",5,83.4974778535079,-1.94190434599246,-4.99999999737654,-1.24860346179247
"cv",6,88.2955236752882,-4.99996859646658,-4.99999999839171,-1.3627440453163
"cv",7,118.08321667446,-1.50507481637932,-4.99999993993303,-1.61364491044588
"cv",8,125.209011523238,2.42857370035775,-4.56487696622103,-4.8748773840155
