"","","","par1","par2","par3"
"cv",1,85.3078629135949,-0.539665082681282,-4.99999993221429,-1.85598816153708
"cv",2,127.979960379665,-0.0513714420136994,-4.9999983739473,-2.12007918280641
"cv",3,97.6531457610296,-0.85111360163256,-4.99999980199712,-1.86592492622423
"cv",4,60.334088844075,-0.377823967059953,-4.99999991888972,-1.64169624906893
"cv",5,115.00242865253,-1.15410109991243,-4.99999991384935,-1.92078881631304
"cv",6,77.879123540033,-0.5805488657361,-4.99999995530328,-1.75127575568937
"cv",7,118.744094832028,0.0461128204207951,-4.99999855873651,-2.09455179059807
"cv",8,77.3471097761406,-0.384360478718585,-4.99999994026464,-1.79599700475681
