"","","","par1","par2","par3"
"cv",1,116.410042509735,1.67507964400082,-3.35958062347525,-3.03652852751442
"cv",2,106.098740066946,-1.15282337894969,-4.99999999811676,-1.02828912776642
"cv",3,104.446236031309,-1.61432147556605,-4.99999999832003,-0.945894508985841
"cv",4,100.681996284296,-4.99983476547851,-4.99999999459324,-0.577483098792164
"cv",5,103.972077083992,0.825373627951853,3.44645309311336,-4.05146533589375
"cv",6,108.3733721816,-0.990142422322551,-4.99999999197561,-1.14892749825856
"cv",7,100.976530308848,-1.05466661779779,-4.99999999943205,-0.611071611008917
"cv",8,109.31317034786,-1.26141151145405,-4.99999999994354,-1.1818100098279
