"","","","par1","par2","par3"
"cv",1,80.0342059504508,4.99999909171758,2.86839763185157,-1.59186288113755
"cv",2,86.6171969750559,4.99999999799695,2.82712491241179,-1.68295059851738
"cv",3,125.317321129403,4.99999996386963,2.89547582764814,-1.9200384728302
"cv",4,80.582946194064,4.99999996574801,3.15481401407859,-1.48370526830019
"cv",5,104.134942418217,4.99997976867838,3.32908874554423,-1.64652294147151
"cv",6,115.3388134946,4.54203082378887,2.3772262444851,-1.80651899956327
"cv",7,81.650962395832,4.93044642762531,2.95245920016255,-1.54481837601062
"cv",8,106.339800562914,4.99999899199851,3.33695217702492,-1.65974212311345
