"","","","par1","par2","par3"
"cv",1,103.19076832798,-0.165297065825006,4.14947804267762,-4.49570703617345
"cv",2,103.657110448478,0.574032195294266,3.58592492138993,-4.95888438690826
"cv",3,103.793093764151,0.43217497597745,3.67790576822586,-4.87975346747427
"cv",4,103.556754818228,-0.281056522852746,4.25216703674374,-4.88166369032115
"cv",5,103.707215708961,-0.208600730133501,4.18751273657132,-3.67863728199154
"cv",6,103.783099757771,0.488005877864069,3.64055541245294,-4.34481590197235
"cv",7,112.741066383263,0.266908506955951,3.69264430198818,2.30866905581206
"cv",8,103.268894715281,0.731010198964932,3.49526317958733,-4.91861785322041
