"","","","par1","par2","par3"
"cv",1,107.283108916229,1.78904171349869,-4.99968557061421,-2.19507333758278
"cv",2,106.608856760936,1.76088491439399,-4.99999942092854,-2.14880986145654
"cv",3,104.785463294153,3.72840950544189,-4.9998828697295,-4.99991998976893
"cv",4,280.453345886388,-4.99893998637205,-1.60242456206814,-3.62932892098833
"cv",5,236.250349962595,-0.926068090542258,4.85983248998946,-4.62885236052675
"cv",6,109.544133530259,3.65525847888349,-4.99979165959852,-4.99999752605964
"cv",7,106.709987608644,3.69614203211958,-4.99947806833003,-4.99851169644036
"cv",8,105.123327413672,3.72421140551854,-4.99988719465428,-4.99990451760918
