"","","","par1","par2","par3"
"cv",1,100.875796198162,2.84479646681693,3.1093665315648,-0.958972661439545
"cv",2,100.803541568189,1.13741419776134,3.1855460559018,1.9433487659019
"cv",3,235.889177629583,-0.546632336779504,1.53791443499789,-4.23266052394457
"cv",4,100.99785877969,1.28609318938106,3.1551862631629,1.87580728930659
"cv",5,101.047897704165,1.04210056659101,3.24489913867608,1.83767788734252
"cv",6,100.983400531717,4.55590021868997,3.1032349562213,-4.10156394607137
"cv",7,100.910204280021,1.68717724922443,3.14847960983262,0.80780429000938
"cv",8,100.998777157534,1.15077021235794,3.1274910661963,2.33205613176161
