"","","","par1","par2","par3"
"cv",1,100.31474103743,1.32401889424485,2.91069718868787,1.69314139674673
"cv",2,100.609238639582,-4.08327246021875,3.38008920998588,3.85235229289655
"cv",3,100.364405464842,3.95987705165924,3.09774220653415,-3.14265598635555
"cv",4,100.419489087514,4.54491620451563,2.95384332995425,-4.44512176579489
"cv",5,100.362386333022,1.3922604400317,3.05727916943364,1.74653425219006
"cv",6,100.370501750824,3.57489213580266,2.95841538350503,-2.51585266593135
"cv",7,100.377382299083,0.984901555930123,3.11476687826264,2.39074515742476
"cv",8,213.372070157204,-1.13536441000178,3.49697463255721,-2.36328145671206
