"","","","par1","par2","par3"
"cv",1,100.102493537971,0.547591253131208,-1.3661574075351,-2.17152034439385
"cv",2,100.356878900548,0.498706494582932,-1.36709698904425,-2.16586980479794
"cv",3,250.861131222282,-2.69872258321204,1.80587581342144,-4.82940193146469
"cv",4,101.767846192485,0.367887528596377,-1.4404874884068,-2.15756757874822
"cv",5,102.473615488404,0.440764216695745,-1.44690560649879,-2.1803338786528
"cv",6,100.911182631792,0.471271809058495,-1.39384718061197,-2.16784989451182
"cv",7,100.91294837092,0.472165957692286,-1.40192186955363,-2.16676639815716
"cv",8,105.964699950338,0.248151706328789,-1.55476811092286,-2.29358471506352
