"","","","par1","par2","par3"
"cv",1,119.289331690687,3.03138053093412,-0.669757923167857,-1.97314726697354
"cv",2,149.384751075586,3.06198426418065,-0.544131583253944,-2.09801126873569
"cv",3,107.730356144845,2.61232450892955,-4.99999870856337,-1.88019687069555
"cv",4,57.5531618638781,2.99015246442719,-0.450246092890914,-1.59849886411774
"cv",5,112.256240864952,3.72469334182456,-4.99994333001665,-1.90227488324165
"cv",6,123.632360660819,2.30671658238678,-4.99999973907979,-1.918387396768
"cv",7,273.067554874286,-2.20696147314377,-0.782630714560078,-4.17178630615583
"cv",8,73.14715429316,2.99628140209855,-0.450289648486481,-1.72900574974609
