"","","","par1","par2","par3"
"cv",1,111.599284396017,-1.31287724744992,-4.99999999672839,-1.61803264977114
"cv",2,106.85362171571,-1.73415263040449,-4.99999999984257,-1.5077643845833
"cv",3,97.6664519953942,-1.44555323479018,-4.99999998237243,0.315942814921671
"cv",4,109.016021267019,-1.68930581472458,-4.99999999587854,-1.54996352731982
"cv",5,100.000238821508,-2.09701184099243,-4.99999998850069,-1.45252186275873
"cv",6,103.024296344329,-4.90431038329517,-4.99999999811912,-1.48179997588174
"cv",7,108.029621851711,-1.74906674506232,-4.9999999996879,-1.54125703661186
"cv",8,103.589863118941,-1.98222392034064,-4.99999999998808,-1.51383172029517
