"","","","par1","par2","par3"
"cv",1,104.465718796884,-4.5392508986038,-1.52654885279137,-0.904639677474928
"cv",2,114.059807170922,1.03590741262028,-0.00331900535616765,-0.212931457178154
"cv",3,120.37021108384,1.75662762159894,4.99999034036887,3.30436541315024
"cv",4,113.924603383386,1.75538558819688,4.99999906634545,3.43417623040031
"cv",5,121.054641254468,1.82770833834365,4.99991409138592,3.25291203674841
"cv",6,104.528513711301,-3.25126489529217,-1.53217995440729,-0.898315453054037
"cv",7,167.562455710946,-2.32244661269151,-0.900707072747315,-2.79660134878059
"cv",8,102.949624787116,1.54323007756612,1.46613966262152,1.177675336137
