"","","","par1","par2","par3"
"cv",1,233.800713385599,3.10308966387141,4.99999998183074,-1.47113976359296
"cv",2,91.2893739010811,3.14103393132315,4.99999462519052,0.995201751053824
"cv",3,95.821757433144,3.14104468597635,4.99999951315287,0.925652923821153
"cv",4,91.1929423794943,4.99999608775345,4.99999545577535,-0.487736034149321
"cv",5,125.340804640153,3.46852828722266,4.99991052779303,-1.86665234060552
"cv",6,114.529252752399,3.32632763036497,4.99999956913431,0.580169146359294
"cv",7,88.6267079960508,3.09810309011298,4.99999492786328,1.11241692548391
"cv",8,96.5814383700272,3.14319820376113,4.99717800314805,0.878812705831563
