"","","","par1","par2","par3"
"cv",1,116.211878890687,-2.42745001422396,-4.99999999906276,-1.78713674919254
"cv",2,143.19405536233,4.31683640750097,2.15681132153714,-1.45966523123811
"cv",3,250.319419729181,4.99999973749595,4.99999983109043,-0.716381475717463
"cv",4,107.188190215911,-2.44047536349041,-4.99999999943239,-1.67267046938238
"cv",5,99.0405903724807,4.20929913914114,1.47877707434454,-1.05304454408258
"cv",6,111.933214531944,-4.23712905843945,-4.9999999960723,-1.73615139946189
"cv",7,106.803396531175,-3.04510759756725,-4.99999999811654,-1.716408617325
"cv",8,101.086574596087,-2.16544407272655,-4.99999999990488,-1.64309915324624
