"","","","par1","par2","par3"
"cv",1,109.177814086088,-1.63480785998123,-4.99999999938523,-1.77809458697038
"cv",2,84.9221301737373,-1.2449906354842,-4.99999999220672,-1.46621691009788
"cv",3,92.1328406557011,-1.45416413546835,-4.99999998356254,-1.62335524751466
"cv",4,114.263377939709,-1.44207337800162,-4.9999999999908,-1.79249470555119
"cv",5,94.1493101792526,-1.41238692869851,-4.99999999984103,-1.58066731022067
"cv",6,91.80250933627,-1.34666976874636,-4.99999999888802,-1.58169433715825
"cv",7,109.489535677429,-1.3388249771797,-4.99999999947789,-1.73504594326602
"cv",8,102.58365346216,-1.62400102987567,-4.99999999987779,-1.69523086260561
