"","","","par1","par2","par3"
"cv",1,84.603620574342,-2.22971083052972,-4.9999999997275,-1.30328436170955
"cv",2,111.322559503208,-3.09707913391635,-4.99999999682215,-1.80719841372922
"cv",3,110.854101158964,-2.63234961842325,-4.99999999954481,-1.76441987982582
"cv",4,88.2075066007252,-4.98707674584563,-4.99999999938148,-1.4565588158332
"cv",5,111.561407183243,-2.80160438476987,-4.99999999867495,-1.79412189714362
"cv",6,88.7760268663972,-4.9957436802482,-4.99999962021435,-1.52242213700461
"cv",7,110.238096649288,-2.77530123562759,-4.99999999935906,-1.7668745039092
"cv",8,109.850599986396,-2.64678586413547,-4.99999999933927,-1.74687602137168
