"","X","X.1","X.2","par1","par2","par3"
"1","cv",1,103.139388194472,0.879618869733552,4.72029243274052,4.77478296545857
"2","cv",2,103.60497194308,0.878330109054071,4.81632889061072,4.77769914820743
"3","cv",3,104.197055555303,0.975634620317168,4.87297638950779,4.65391351581195
"4","cv",4,104.357307499268,1.06816830608623,4.83934381173713,4.56826377164683
"5","cv",5,102.724091182959,0.773228667732622,4.69046905249578,4.98323737254459
"6","cv",6,103.143898576142,0.461078691211958,4.54579403146637,4.99997593405077
"7","cv",7,104.044465055853,0.860485654005946,4.74657827142904,4.691349567488
"8","cv",8,105.09626139012,0.706916380777121,4.65439547670416,4.60940003815554
"9","cv",1,104.217804451353,-1.23717418839374,4.60513892387118,4.93427112587546
"10","cv",2,102.841395363773,-3.92566653026913,4.48166495037932,4.99999394906937
"11","cv",3,103.44941521151,-3.08957033955109,4.57769205440322,4.99999961074498
"12","cv",4,103.589661215258,-3.32097728606945,4.59308763529976,4.99999248543179
"13","cv",5,103.466193317782,-3.83195531651216,4.5793594837989,4.99998801024255
"14","cv",6,102.777653321269,-2.91351573592005,4.47122740620326,4.99999449131824
"15","cv",7,103.379407880428,-4.39333750528224,4.56956925526966,4.9999649413089
"16","cv",8,103.643782864067,-3.7272929069239,4.59850038899536,4.99999883248938
"17","cv",1,104.832430408109,1.30575716728721,-0.281130495247384,0.0229075946491514
"18","cv",2,103.996751949365,4.02316767504163,0.891580701276335,-0.780226581185404
"19","cv",3,104.457593868469,1.29664760935497,-0.808000450907231,-0.0476965942514736
"20","cv",4,105.324499756232,4.3008542161979,-0.332489656993585,-1.34600663115729
"21","cv",5,103.986284856153,1.30083851174912,-0.40092832548281,-0.0460763899228306
"22","cv",6,103.892819673083,1.29992961961657,-0.624532279645741,0.0383773886661463
"23","cv",7,104.075777995348,4.28108815860073,0.550531388456957,-0.935575357926446
"24","cv",8,104.78866913501,1.27273039011857,-0.604804788956572,-0.0528868460254701
"25","cv",1,102.96504032331,0.995650872005909,4.99998311546361,4.7510134938775
"26","cv",2,106.108982344335,1.06962303721855,4.99999406936377,4.33726831139782
"27","cv",3,103.714268912057,0.995675734865749,4.99999971943602,4.63454473767656
"28","cv",4,104.398596107972,0.890290505648226,4.99999420320294,4.64745729339158
"29","cv",5,102.318839894357,1.01697887030588,4.99997711896317,4.91356770951917
"30","cv",6,103.230354725691,1.05650296029177,4.99999986297125,4.66121352885401
"31","cv",7,102.873591084596,0.994340564704261,4.99999122012822,4.79292556740621
"32","cv",8,104.423438116488,0.931678258960297,4.99999901786039,4.60207559332332
"33","cv",1,103.866153949128,0.71396264725523,-4.99994186890547,-0.892941740440762
"34","cv",2,104.764723169924,3.56299466669849,-1.52640072371206,-1.46634862755332
"35","cv",3,104.578344492816,0.729074219153426,-1.90957287092965,-0.764346599845982
"36","cv",4,103.661641264584,0.700386998060024,-3.2962298221402,-0.854016620382676
"37","cv",5,103.842967645937,3.30781011627672,-1.50527555166087,-1.2070030400947
"38","cv",6,107.570424211547,0.692950045036128,-3.30033127715676,-1.26261744712659
"39","cv",7,104.348103310861,3.16063491462961,-1.60914866244708,-1.30268993794776
"40","cv",8,103.595838259442,0.705671323299751,-3.33423953762285,-0.842808094880717
"41","cv",1,105.088192408423,-2.84164400182304,-1.85633955627307,-1.30728724081888
"42","cv",2,103.878950560208,-2.09496080569938,-2.01565299878047,-1.14863700648189
"43","cv",3,104.771665180644,-3.62521967403214,-1.58478552231584,-0.975480497854033
"44","cv",4,103.567486983205,-0.79773845349658,-2.15020226821296,-0.924805271521993
"45","cv",5,105.391107564573,-0.686492540805539,-1.69012712644956,-1.12202299530248
"46","cv",6,103.175885865942,-2.324213791889,-1.53329636721337,-0.104902244805457
"47","cv",7,104.357524681707,-0.283093530802875,0.171579738750259,1.00077078251844
"48","cv",8,103.725849166048,-3.45418461860398,-2.17684841478947,-1.1669628431373
"49","cv",1,103.559434663233,-2.67038087908801,3.96731092794411,4.99980416240295
"50","cv",2,105.216379496061,-3.53752230332304,3.3356904485234,3.97620511850712
"51","cv",3,103.590463363106,-3.10401047306279,3.97950648364181,4.99999999994044
"52","cv",4,103.527487245309,-4.86228524993191,3.95464044390466,4.99998410128051
"53","cv",5,103.49964899748,-3.02674247219819,3.01932463694598,4.07996035787094
"54","cv",6,103.95356554171,-2.43893667662912,4.10565603679808,4.99996773963499
"55","cv",7,103.285642604441,-2.52249057956983,2.95751492852047,4.14296538179634
"56","cv",8,104.037500980006,-4.93262007746599,4.12668389649166,4.99994309018878
"57","cv",1,104.471067412197,0.714693747057343,-4.99908006768792,-0.139581333054123
"58","cv",2,104.0271119618,3.28987973761783,-4.99999309049989,0.265520750906734
"59","cv",3,105.486413973685,2.50073968785804,-4.99999982822862,-0.157988177733757
"60","cv",4,104.068166314269,0.805239827596047,-4.99966051883947,0.332127602542395
"61","cv",5,103.982833542034,3.11312448497354,-4.99999885612468,0.440607295794711
"62","cv",6,103.883311964748,1.67848316490283,-4.99999999262294,0.996269665988856
"63","cv",7,104.173365670965,0.780735389644178,-4.99944282615413,0.162870658577864
"64","cv",8,104.359060844192,0.787048686065096,-3.68210163433456,0.105764755087616
"65","cv",1,104.962213795853,-0.0611657795294138,-4.99999934554275,-1.13396138491305
"66","cv",2,104.342958093591,-0.0954857322573385,-4.99999999972282,-0.932671885656176
"67","cv",3,104.613020641808,4.99999999729388,-4.99999034738373,-0.493099343370038
"68","cv",4,104.074819739559,-0.152283899412792,-4.99999999347822,-0.93110082090307
"69","cv",5,103.669983198206,-0.0523420873469818,-4.99998995070464,-0.815994443529078
"70","cv",6,102.888888051597,-0.26821848803106,-4.99999993251935,-0.541665531466313
"71","cv",7,103.468227774722,-0.100358226878813,-4.99999976359746,-0.812723829883044
"72","cv",8,104.582768498967,-0.189867203154046,-4.99999999682557,-0.993466541324885
"73","cv",1,104.088389917163,1.46906179157718,-4.99929463728891,1.43175971929573
"74","cv",2,104.772222072432,1.3564610710451,-4.99999965095255,0.688698421590518
"75","cv",3,103.954485480486,0.436111413668603,2.05237184337396,4.99851131132804
"76","cv",4,104.145202380135,0.483678738366375,3.20354398782719,4.99976573471945
"77","cv",5,104.456123419631,0.57993713838699,3.65177555386336,4.99960938031496
"78","cv",6,104.517149414681,2.26006573327899,-4.99918981184712,0.354801375906243
"79","cv",7,104.177562142812,2.27283917648838,-4.9999867518484,0.736428765883949
"80","cv",8,104.073347854955,-1.05737128606425,-4.9999923178,0.746095262244241
"81","cv",1,103.765623320415,-1.03539943587582,-4.99996684188947,-0.598946481774845
"82","cv",2,104.538074601022,-1.03390456657262,-4.99997804428592,-0.987570493197438
"83","cv",3,103.608521902146,-1.04176144999853,-4.99999940981412,-0.365785051658588
"84","cv",4,103.822865171407,-1.07583531911737,-4.99963804417067,-0.816918686619287
"85","cv",5,103.843555295992,-3.85564407212231,-4.99999999967247,-0.799629841188383
"86","cv",6,105.543291057377,4.99999996878043,1.01626572246367,-0.886229967125348
"87","cv",7,103.91587420488,-1.0272840120588,-4.99999943945485,-0.70351380768148
"88","cv",8,104.330691328408,-1.09966250858847,-4.9999995767658,-0.921533062763082
"89","cv",1,103.793054323171,3.14890194640101,3.37996197685435,2.09344141720663
"90","cv",2,104.224531878729,-0.710988256526958,-1.51459531832809,-0.359850839931583
"91","cv",3,104.157313588983,4.99988433579064,4.79530990227495,1.50672103824856
"92","cv",4,104.430519692159,4.23990966202859,3.52710737981345,0.951516104796643
"93","cv",5,104.387219393292,4.9999990136235,3.47972334668403,0.574509078430724
"94","cv",6,104.638423519956,-0.990540542299002,-1.74957064230586,-0.76537074133085
"95","cv",7,103.993057103134,4.56496026810026,3.68011856304851,1.00127809220476
"96","cv",8,104.363867732863,-3.98915080485628,-1.18904683315795,-0.17166406715316
"97","cv",1,103.233191207665,-0.493012315980099,-2.63202394669361,-1.57117878130983
"98","cv",2,106.245298514417,0.672399784620705,-1.84873335099771,-0.957555678920247
"99","cv",3,103.844807994505,-0.435391903988464,-2.4527295114064,-1.57480987319269
"100","cv",4,103.568003774503,-0.495064997876037,-2.35168316039831,-1.56146865531611
"101","cv",5,104.701630488236,0.578736857214195,-1.89086101121131,-0.920500522719772
"102","cv",6,103.080532207199,-0.450040680558784,-2.28771064880974,-1.44752939599471
"103","cv",7,103.845495346283,-0.549965197588024,-2.4470027000408,-1.67216950903931
"104","cv",8,104.116370795297,0.00379572202734838,-1.86965982127415,-1.13854229020982
"105","cv",1,104.362794064539,3.73592415682215,0.793035657403637,0.0818194162701794
"106","cv",2,104.334376934025,-2.83144976804144,-0.953970092316394,0.622136436799839
"107","cv",3,103.925622773619,-2.51997648263133,-2.38167919456694,0.988695896076023
"108","cv",4,104.189515545998,3.65082681313781,-0.598721158280629,0.177555083665081
"109","cv",5,104.21780074437,1.77028999540091,-1.4166077380837,0.35295206392362
"110","cv",6,104.556973373607,3.62703372574116,0.654032612237126,-0.0287103480637861
"111","cv",7,104.033445506424,-2.53434377575104,2.75515155498799,4.99999967886947
"112","cv",8,104.242730947587,-2.07717406202541,-1.7879383176101,-0.118446435679566
"113","cv",1,104.382258708249,1.47192439597399,-1.75211753006945,-0.309428631614529
"114","cv",2,103.890609757101,1.46841632524165,-1.59439090868786,-0.170616171989303
"115","cv",3,103.944412237892,1.43491668186875,-0.970124150312978,-0.0757541069049077
"116","cv",4,103.604218427781,0.64493078661149,4.25061008074732,4.99999973686157
"117","cv",5,105.14267234049,1.35360346179919,-1.56513504341746,-0.403324064048985
"118","cv",6,105.83024148438,0.770713689697459,1.82573404701549,1.91980593991992
"119","cv",7,103.565204300059,0.77745561340506,4.34353415113242,4.9999930051204
"120","cv",8,103.436904592367,1.45818865400395,-1.68122799185537,-0.0733627674232568
"121","cv",1,104.041667175171,3.87080040462187,4.9999881239477,2.83274260934395
"122","cv",2,104.071189337583,3.82523908919387,4.99999816853263,2.91066178127803
"123","cv",3,103.642773809685,4.00746165524627,4.99999966930225,3.65984347360399
"124","cv",4,104.268826290473,3.93491472043555,4.9999966510951,2.62772840156443
"125","cv",5,103.634286511761,3.96064052703995,4.9999985840346,3.49860158256382
"126","cv",6,104.161094033147,3.75096297205557,4.99999682766185,2.89036879035466
"127","cv",7,105.311652568414,0.144944099333689,-0.18559045249479,0.83540443185811
"128","cv",8,104.951523923729,4.72180064622578,4.99993204743687,1.71885339139945
"129","cv",1,103.875369051923,0.417183897855074,3.74708262091833,4.99988552319296
"130","cv",2,103.953829799807,-0.00289745435881284,0.365409287930081,1.57218703870671
"131","cv",3,104.079314048863,-0.0668351461160356,3.858853771324,4.99999995365039
"132","cv",4,105.133153207625,-0.0327056510413352,-0.183102074680531,0.622479177152919
"133","cv",5,104.247209806543,-0.109274303632082,0.544139005425879,1.61907562757038
"134","cv",6,104.806056124036,0.0696406635304913,-0.113037003029269,0.755625078669502
"135","cv",7,103.731686909249,0.388970890859247,3.53429145957673,4.99981275467591
"136","cv",8,103.642336338409,-0.319698722608226,3.287222136901,4.99999993755674
"137","cv",1,104.254596991777,2.40157300020859,4.99985987396615,4.80000514277742
"138","cv",2,103.946084239713,0.665525955511828,-4.99999992524134,1.21678460109937
"139","cv",3,104.016213493918,3.76349724106318,2.09504014183296,2.20963572966338
"140","cv",4,105.157237122121,2.56073015400003,4.99999516681959,4.09743968311606
"141","cv",5,104.437077600957,2.82547971143512,4.99999969622973,4.18027586180126
"142","cv",6,104.406898269421,-1.00340250269662,3.10011604289071,4.99999976633788
"143","cv",7,103.969763714055,2.07131958791803,-4.94691827657754,4.99998025756341
"144","cv",8,104.328857458363,0.747761499926262,-4.56792777841865,0.589182616284324
"145","cv",1,105.48279633078,4.12028716862249,4.99997131574743,2.07962975222701
"146","cv",2,103.988535776313,-0.463987959588208,-4.24653038042901,-0.613479108463122
"147","cv",3,105.504755124551,-0.551194443967179,-2.47229515582398,-1.12994140653388
"148","cv",4,104.115729142591,3.84930920681642,4.99999981392657,2.79935169074174
"149","cv",5,105.041698652135,-0.566510095690375,-2.53880564934177,-1.05642215391337
