"","X","X.1","X.2","par1","par2","par3","r2","id"
"1","cv",1,101.132276253004,0.857701047470898,4.70560435588266,4.77174646630031,0.0253895171186711,1
"2","cv",2,101.601600919603,0.862656274287462,4.80314813377899,4.76180132985955,0.0208755679915427,1
"3","cv",3,102.139998929744,0.93340202676693,4.84091081959947,4.69975980801033,0.0156972737298433,1
"4","cv",4,102.2964502687,1.01848954436888,4.81634430499286,4.56086901139595,0.0141925299241616,1
"5","cv",5,100.723210315968,0.749976518826709,4.67248263539918,4.98233618626796,0.0293238997770605,1
"6","cv",6,101.136192768817,0.464336375622872,4.55239284627727,4.99992358226581,0.0253518481990644,1
"7","cv",7,102.029797078938,0.871812256917316,4.7598756147951,4.72142768846219,0.0167571914875406,1
"8","cv",8,103.063412478317,0.722535922256426,4.66188382935041,4.61469715911436,0.00681591274840365,1
"9","cv",1,102.220076504153,-2.51397191064353,4.57539234396357,4.90221982679677,0.0149270902666014,2
"10","cv",2,100.840198835084,-1.99533480901507,4.4822698992204,4.99868348205498,0.0281987080679299,2
"11","cv",3,101.449465869577,-4.71317343368931,4.57484143091131,4.99648528447393,0.0223387978729954,2
"12","cv",4,101.589164305082,-1.7054407838708,4.57394325228562,4.98325353346119,0.0209951829388421,2
"13","cv",5,101.466375209292,-1.70579085258597,4.54715531473126,4.96672111835429,0.0221761644026518,2
"14","cv",6,100.777735836117,-3.40281727492647,4.46476037780278,4.9936418835424,0.0287994751269215,2
"15","cv",7,101.379411790017,-4.37813730565809,4.56410311539372,4.99389101504846,0.0230125756941637,2
"16","cv",8,101.644454741997,-4.07313344442966,4.59910948510761,4.99789454293094,0.0204634013445364,2
"17","cv",1,102.827548254082,1.30731333994501,-0.294078014054269,0.0174578000156388,0.00908444705925004,3
"18","cv",2,102.52165005186,4.98459508176893,3.37463963848338,-0.108529667919335,0.0120265658550003,3
"19","cv",3,102.465925237242,1.30129429668397,-0.832955174635174,-0.047148012368153,0.0125625252796925,3
"20","cv",4,103.320476619841,4.30254205783429,-0.325350470852303,-1.34469832529924,0.00434347833395665,3
"21","cv",5,101.987575586306,1.30009580111518,-0.405510103786337,-0.0485724517362338,0.0171632764078015,3
"22","cv",6,101.899901500147,1.3004209158228,-0.625706369490385,0.0155609462742504,0.0180065228699086,3
"23","cv",7,102.075582530292,4.28060952298249,0.550053463912813,-0.935347757096577,0.0163168285301188,3
"24","cv",8,102.814891705977,1.2751930277873,-0.649238030121039,-0.0871502643654458,0.00920617732048901,3
"25","cv",1,101.005753413646,0.986444279593806,4.98425037406128,4.79288975372817,0.0266064096046774,4
"26","cv",2,103.938949292414,1.04681031284205,4.99668590469145,4.39030375152037,-0.00160497138368609,4
"27","cv",3,101.725497210098,1.01758471258282,4.98764404545473,4.57463880277157,0.0196839375656649,4
"28","cv",4,102.449737161721,0.880899760772111,4.99681357897806,4.63253550440828,0.0127182216548637,4
"29","cv",5,100.381174995689,1.04372031626434,4.99216828436289,4.922019497131,0.0326135841795632,4
"30","cv",6,101.248007217674,1.065690473244,4.98969354649632,4.60438475335593,0.0242764205266263,4
"31","cv",7,100.881721228631,0.999186206313911,4.99715230400368,4.80819232156846,0.027799347059556,4
"32","cv",8,102.26118218212,0.906836414461133,4.90167049605203,4.72359606136123,0.014531737214899,4
"33","cv",1,101.861765244616,0.71863425428121,-4.98908561510488,-0.879017383967181,0.0183733161147929,5
"34","cv",2,102.763025099668,3.56228362597057,-1.52580770508884,-1.46625013504221,0.00970502862522071,5
"35","cv",3,102.573340097732,0.728758950221816,-1.91104349057705,-0.761921065836322,0.0115294127027146,5
"36","cv",4,101.653865121779,0.706755907028523,-3.3201739939536,-0.83100361056802,0.0203728926229071,5
"37","cv",5,101.843045020402,3.30780116572856,-1.50664729657853,-1.20726831463429,0.0185533666123786,5
"38","cv",6,105.573915312811,0.693321459747415,-3.29600856578606,-1.26253885823739,-0.0173300205146776,5
"39","cv",7,102.346855698594,3.16081928065822,-1.6036533317647,-1.3024254911104,0.0137077321658819,5
"40","cv",8,101.59437765423,0.710777377467855,-3.36185969111709,-0.824619131039726,0.0209450411190937,5
"41","cv",1,103.087640138783,-1.76580686297235,-1.85509486582536,-1.3058890563892,0.00658289191102601,6
"42","cv",2,101.878968641832,-2.61280863568872,-2.01523533063735,-1.14935581512779,0.0182078544091263,6
"43","cv",3,102.772602900004,-4.55164840979251,-1.58419624832955,-0.975498077973435,0.00961290965823813,6
"44","cv",4,101.573563939444,-0.797900415210278,-2.16058305947072,-0.937551647803833,0.0211452267397887,6
"45","cv",5,103.401617301222,-0.693381700736389,-1.71064085778014,-1.15063900146696,0.00356306994300515,6
"46","cv",6,102.286690275323,1.51658114505876,4.84274619099214,4.98682392352094,0.014286401217789,6
"47","cv",7,102.36088410984,-0.291768877143979,0.030170599819226,0.834956795014392,0.0135728073703075,6
