"","X","X.1","X.2","par1","par2","par3"
"1","cv",1,103.585488015345,-4.99959496480353,2.91894385955229,4.95426911803666
"2","cv",2,103.567070999236,-4.99992427906577,2.92975103475572,4.9765910360565
"3","cv",3,103.648086078451,-4.99971111134275,2.99888479617759,4.99981864765502
"4","cv",4,105.366073679402,-0.146397491619146,-1.99637362660651,-0.681837827359548
"5","cv",5,103.53932261209,-4.99822327555959,2.85304341903112,4.91778922515888
"6","cv",6,103.951723078804,-0.24380203194462,3.51321189186978,4.99424783496975
"7","cv",7,103.811802403606,0.296370617564463,-0.462258491001451,0.872317003194294
"8","cv",8,105.146807530319,-4.99992868055064,2.16391462140686,3.72569973941391
"9","cv",1,104.214901642722,-4.93786461266891,3.79321525909959,4.94109322576712
"10","cv",2,102.841705102268,-4.99989970192829,3.66216551474428,4.99659685660879
"11","cv",3,103.449700409234,-4.99494355809018,3.75953382839001,4.99618781312768
"12","cv",4,103.58926735414,-4.9986729075822,3.77613064476508,4.99935628729295
"13","cv",5,103.46617473942,-4.99974191346093,3.76207051537793,4.99863119796376
"14","cv",6,102.778505615632,-4.99988135370562,3.38996209187031,4.73489285160294
"15","cv",7,103.378819931326,-4.99314830239036,3.75147866369468,4.99703131952128
"16","cv",8,103.642691959717,-4.99834816832274,3.7512896236678,4.97051661464537
"17","cv",1,104.231659839173,0.566033163644185,4.36582050020187,3.5421256464906
"18","cv",2,104.233761698047,0.802948706406115,4.3112762936468,2.35100754091764
"19","cv",3,103.972077083992,0.56344574602774,4.56670456136398,-4.02643071926733
"20","cv",4,104.07657487613,-4.99998466663694,-4.99999999213605,0.29677510601219
"21","cv",5,103.940641281588,0.677055292973682,4.44079889271668,-4.91064111580538
"22","cv",6,103.972077083992,1.12623544547467,4.16171800790994,-3.92832811204889
"23","cv",7,104.033487714538,-4.99999619891063,-4.99999998461428,0.589673587369328
"24","cv",8,104.099235309854,1.75844170331596,3.92337130598724,0.731019519365324
"25","cv",1,104.462498274792,4.51678015418711,3.79975983357499,-1.60515755228332
"26","cv",2,103.972077083992,0.652582750078303,4.45889949545203,-4.46035477849576
"27","cv",3,103.972077083992,1.26291234871367,4.10861811986129,-4.43965459660475
"28","cv",4,104.223001436768,-4.99999999475554,-2.02217028908812,0.783968485642526
"29","cv",5,104.086384831024,-4.99999733288663,-4.99999993071651,0.776351429268512
"30","cv",6,103.964845038292,0.796889355689977,4.3575380368128,-3.10537815990333
"31","cv",7,103.972077083992,1.2026072539853,4.14392626243585,-1.49785538657407
"32","cv",8,104.759110524784,-4.99999923703158,-3.09155076402639,-0.430076826162177
"33","cv",1,104.20367178156,-4.99990292628915,-4.99999997869902,-0.671137747842253
"34","cv",2,103.972077083992,0.264225682963831,4.81230673298803,-2.41235570837863
"35","cv",3,104.060835488481,-4.9405783365525,-4.99998773701268,-0.479130039654987
"36","cv",4,103.994899492967,-4.9999791642877,-4.99999989852823,-0.388827476084628
"37","cv",5,104.012565990643,-3.49083573720201,-4.99999999951632,-0.469490215633378
"38","cv",6,104.112596355848,-4.99998352997416,-4.99999998637851,-0.628813857454223
"39","cv",7,103.972077083992,0.383448338775148,4.66783564471013,-3.05149482834169
"40","cv",8,103.972077083992,1.37720739118514,4.06198997541555,-3.25444160155595
"41","cv",1,105.49419195056,0.745477587444178,-2.39589643378233,-1.47481507390122
"42","cv",2,103.827717762513,0.732450239175866,-2.60047200014859,-1.28870727836731
"43","cv",3,104.586752397631,0.42139077733014,-2.02305282117373,-0.864656608464257
