"","X","X.1","X.2","par1","par2","par3","r2","id"
"1","cv",1,101.584235029105,-4.88797463921598,2.70846397576039,4.7387183413173,0.0229661859400753,1
"2","cv",2,101.565927600568,-4.98503154983838,2.88038194442492,4.92299230045652,0.0231422661824869,1
"3","cv",3,101.648680867565,-4.96772919169333,2.99050325390304,4.99484444954424,0.022346347996394,1
"4","cv",4,103.380924913154,-0.13263325844552,-2.00884010307476,-0.694658557790119,0.00568568203518949,1
"5","cv",5,101.536544490139,-4.88365463841213,2.83004855642887,4.88522173309704,0.0234248719671658,1
"6","cv",6,101.921028303058,-2.22279372078711,2.87531025489734,4.70165197271854,0.0197269193658303,1
"7","cv",7,101.838299628713,0.587798518031836,-0.368650574397743,0.702583359108782,0.0205226010206092,1
"8","cv",8,103.147489188255,-4.90661385442485,2.09468456360667,3.65557222961191,0.00793085911971025,1
"9","cv",1,102.231317201285,-4.49419120324746,4.03784137003133,4.9279559053435,0.0167425710010637,2
"10","cv",2,100.846435372169,-4.98724626482727,3.30804471441813,4.65046140212443,0.0300623186482829,2
"11","cv",3,101.450034126219,-4.9922178472843,3.42646688940096,4.66488235600648,0.0242569257872517,2
"12","cv",4,101.595299711596,-3.41852720846178,4.14543185334324,4.98909390799178,0.0228597661896834,2
"13","cv",5,101.466112340296,-4.97334650138601,3.73285279906128,4.97089600346031,0.0241022860558168,2
"14","cv",6,100.781870339747,-4.98406030219426,1.72015575326333,3.05855425043833,0.0306833029955499,2
"15","cv",7,101.378756252344,-4.99412522262887,3.44657143728304,4.68801653892221,0.024942474021682,2
"16","cv",8,101.642805915868,-4.96667801990549,3.74339045905533,4.96217618843253,0.0224028530875856,2
"17","cv",1,102.252410991208,0.363922223247221,4.62338350662615,2.48705089527414,0.0165396916269606,3
"18","cv",2,102.28157663612,0.791911366687896,4.29387058984112,2.66484555995201,0.0162591774184347,3
"19","cv",3,101.972077083992,0.177989841904491,4.8722206056118,-3.07661002539887,0.0192359338785174,3
"20","cv",4,102.076445484323,-4.94386990242303,-4.99992491337124,0.297867401777126,0.0182321220546305,3
"21","cv",5,101.972077083992,0.95596748877174,4.28871865148598,-1.73141511157155,0.0192359338785174,3
"22","cv",6,101.963753495944,0.374027653232227,4.67580206472148,-3.36137952283025,0.0193159898731792,3
"23","cv",7,101.972077083992,0.282327386806918,4.8397015065126,-4.5697538596909,0.0192359338785174,3
"24","cv",8,102.11844074895,-4.95655786448635,-3.53200154167616,0.424717319585838,0.0178282129878427,3
"25","cv",1,102.466461853423,4.24269227872804,3.73576291829095,-1.12870695787231,0.0144809575108567,4
"26","cv",2,101.972077083992,0.487223543491835,4.61619098702665,-2.69333849257153,0.0192359338785174,4
"27","cv",3,101.972077083992,0.268943179398775,4.84516515862197,-4.20528377492969,0.0192359338785174,4
"28","cv",4,102.222956741156,-4.9646624976399,-2.01981698038697,0.786390324089764,0.0168229816301814,4
"29","cv",5,102.086529157125,-4.96501308402874,-4.99929790151402,0.775073535865127,0.0181351376229946,4
"30","cv",6,101.972077083992,0.809046164932047,4.4429165117066,-2.1226147090724,0.0192359338785174,4
"31","cv",7,101.972077083992,0.210062701311174,4.82077660041274,0.542222541222332,0.0192359338785174,4
"32","cv",8,102.762335140861,-4.97071638337082,-3.09305156103366,-0.433811922399122,0.0116352580140678,4
"33","cv",1,102.206055901325,-4.57081718893714,-4.99988561772665,-0.67851778492368,0.0169855333489216,5
"34","cv",2,101.972077083992,0.57159092426275,4.57668243193984,-4.8319743273567,0.0192359338785174,5
"35","cv",3,102.061333424848,-4.82524450458193,-4.9999981344543,-0.484178760460336,0.0183774693430452,5
"36","cv",4,101.994981417031,-3.80514358604876,-4.99973793939599,-0.389406932962066,0.0190156407605826,5
"37","cv",5,102.01609319008,-1.68134863603973,-4.95478667821735,-0.495437690000869,0.0188125884253681,5
"38","cv",6,102.112969525833,-4.41511613134892,-4.99958526167364,-0.629993446157114,0.0178808350308992,5
"39","cv",7,101.972077083992,1.55627104705069,4.02430947321153,-2.94988464177445,0.0192359338785174,5
"40","cv",8,101.902293283161,-4.96803397785031,-4.99998499001963,-0.219146316196775,0.0199071121678059,5
"41","cv",1,103.496454538804,0.711041210347333,-2.40668596024144,-1.48373511745688,0.00457452191518271,6
"42","cv",2,101.827206589153,0.726595352651505,-2.5951683512099,-1.28479809620915,0.0206292935083533,6
"43","cv",3,102.594375176042,0.390087940200587,-2.02970407171465,-0.868825924261096,0.0132506914028161,6
"44","cv",4,101.245356442991,0.987465660026766,-3.00013606191278,-1.33031651368006,0.0262255089777428,6
"45","cv",5,102.575694247944,0.386475132883123,-2.27330970995718,-1.08495941039133,0.0134303639516574,6
"46","cv",6,101.091296332828,0.949216436384755,-2.74400360312272,-1.06110224456049,0.0277072540239492,6
"47","cv",7,101.83172199258,0.207325118507985,-1.93436691234182,-0.506315206502543,0.0205858645074749,6
"48","cv",8,101.47211786025,0.782793201511397,-2.74189717092687,-1.28031217602342,0.0240445251634461,6
"49","cv",1,101.559400414254,-3.98367458193036,3.04786402103767,4.89134325817349,0.0232050444446614,7
"50","cv",2,103.576068761729,2.19036313559636,0.529843529366911,-1.46642854334683,0.00380879495119524,7
"51","cv",3,101.596096263402,-4.582116065128,2.68521230718184,4.54468122669411,0.0228521049807479,7
"52","cv",4,101.528995042439,-2.37106720451266,2.99449489825253,4.82542609421272,0.0234974823055539,7
"53","cv",5,101.560139153329,-0.498885682250032,-0.515149052774585,1.1304068320903,0.0231979392766613,7
"54","cv",6,102.259257936137,3.66871001917892,3.66099357829314,-1.0227729370203,0.0164738379369984,7
"55","cv",7,101.461649675944,-0.105885339233958,-0.944803419803456,0.663080572140593,0.0241452078140152,7
"56","cv",8,102.037380170554,-4.06195408431813,3.10852314556958,4.79350790913362,0.0186078509509325,7
"57","cv",1,102.463669031324,-4.99626604805209,-4.99996000206754,-0.473936290050958,0.014507818781472,8
"58","cv",2,101.933403261348,1.03908149296926,4.04429961372019,4.17526306553607,0.0196078974261222,8
"59","cv",3,103.930387775029,0.616366105870365,4.38893483592256,2.52556364800334,0.00040096639532472,8
"60","cv",4,102.157278310173,-4.99662722354731,-4.99956295697272,-0.0155061783667671,0.0174546746079983,8
"61","cv",5,101.972077083992,0.867432252117562,4.48933675370473,-0.126274603934863,0.0192359338785174,8
"62","cv",6,101.972077083992,0.690213176078523,4.58182342427032,-0.862127213955522,0.0192359338785174,8
"63","cv",7,101.972077083992,0.696164253317405,4.68138067442048,-3.52821481852739,0.0192359338785174,8
"64","cv",8,102.073900311318,3.8267486077032,-4.98525472469459,-4.89438488533634,0.0182566014444473,8
"65","cv",1,102.505078894662,-4.39479442927637,-4.99998657777101,-0.987527746705005,0.0141095400849278,9
"66","cv",2,102.006152407195,-4.94189079564452,-4.99989492685277,-0.688714087693837,0.0189081985465064,9
"67","cv",3,101.627484108687,-4.99413769412093,-4.99991950430911,-0.619861717868079,0.0225502177225022,9
"68","cv",4,101.966879678123,-1.38876856675911,-4.99990060085091,-0.710941375902185,0.0192859223563355,9
"69","cv",5,101.563341027998,-4.92839437029468,-4.99997663245474,-0.503126073075425,0.0231671437519512,9
"70","cv",6,101.576256003267,-1.02701586995686,-4.99994199432402,-0.511439278564642,0.0230429279467925,9
"71","cv",7,101.520449812236,-2.5570964759712,-4.99940097417194,-0.513330187166894,0.0235796700471348,9
"72","cv",8,102.375568964901,-1.40114854228389,-4.99998797481653,-0.806433713029389,0.015355162307675,9
"73","cv",1,101.972077083992,0.351863624532312,4.86783016938716,-4.95330146624427,0.0192359338785174,10
"74","cv",2,101.972077083992,0.790441541280681,4.50635751576747,-3.16082544386254,0.0192359338785174,10
"75","cv",3,101.972077083992,1.2439947724977,4.27674201944799,-3.21276040118288,0.0192359338785174,10
"76","cv",4,109.200132609857,0.115312542631589,4.99737529774807,-3.00703267667969,-0.0502832652043859,10
"77","cv",5,101.972077083992,1.41684254541092,4.13512621352778,-2.2367514400382,0.0192359338785174,10
"78","cv",6,101.972077083992,1.51637060059152,4.07562591867522,-1.70050664205069,0.0192359338785174,10
"79","cv",7,101.972077083992,1.27200165736495,4.19151232057789,-4.8609465230379,0.0192359338785174,10
"80","cv",8,102.380800729314,2.11813441304912,-4.96774036010315,-2.28616800324875,0.0153048433705167,10
"81","cv",1,101.83428230793,0.163995236578949,-4.99913946049438,-0.767305574215237,0.0205612394790846,11
"82","cv",2,102.532821545746,-4.58527114029263,-4.99982751263631,-0.960306953426615,0.0138427121839945,11
"83","cv",3,101.972077083992,0.516708535013271,4.73137538704759,-2.40359181905693,0.0192359338785174,11
