"","id","cond","age","x","y","z","trial","round","agegroup"
"100",1,"Rough",7,3,5,41,21,4,"7-8"
"101",1,"Rough",7,2,5,38,22,4,"7-8"
"102",1,"Rough",7,4,6,51,23,4,"7-8"
"103",1,"Rough",7,2,7,18,24,4,"7-8"
"104",1,"Rough",7,2,6,40,25,4,"7-8"
"105",1,"Rough",7,6,0,28,0,5,"7-8"
"106",1,"Rough",7,2,5,25,1,5,"7-8"
"107",1,"Rough",7,5,4,36,2,5,"7-8"
"108",1,"Rough",7,4,4,22,3,5,"7-8"
"109",1,"Rough",7,7,3,30,4,5,"7-8"
"110",1,"Rough",7,6,3,27,5,5,"7-8"
"111",1,"Rough",7,5,5,31,6,5,"7-8"
"112",1,"Rough",7,1,1,44,7,5,"7-8"
"113",1,"Rough",7,2,2,37,8,5,"7-8"
"114",1,"Rough",7,1,2,41,9,5,"7-8"
"115",1,"Rough",7,1,1,44,10,5,"7-8"
"116",1,"Rough",7,0,1,40,11,5,"7-8"
"117",1,"Rough",7,0,2,36,12,5,"7-8"
"118",1,"Rough",7,2,1,29,13,5,"7-8"
"119",1,"Rough",7,1,0,27,14,5,"7-8"
"120",1,"Rough",7,1,1,44,15,5,"7-8"
"121",1,"Rough",7,1,3,34,16,5,"7-8"
"122",1,"Rough",7,2,3,33,17,5,"7-8"
"123",1,"Rough",7,0,3,31,18,5,"7-8"
"124",1,"Rough",7,2,0,12,19,5,"7-8"
"125",1,"Rough",7,7,7,50,20,5,"7-8"
"126",1,"Rough",7,0,0,36,21,5,"7-8"
"127",1,"Rough",7,1,1,44,22,5,"7-8"
"128",1,"Rough",7,3,2,33,23,5,"7-8"
"129",1,"Rough",7,3,3,36,24,5,"7-8"
"130",1,"Rough",7,1,1,43,25,5,"7-8"
"131",1,"Rough",7,5,0,30,0,6,"7-8"
"132",1,"Rough",7,2,4,38,1,6,"7-8"
"133",1,"Rough",7,3,5,41,2,6,"7-8"
"134",1,"Rough",7,4,6,49,3,6,"7-8"
"135",1,"Rough",7,4,7,40,4,6,"7-8"
