"","X","X.1","X.2","par1","par2","par3","id","r2"
"1","cv",1,99.8468399927078,0.204070310880598,-4.99991208718237,-1.94921305346549,1,0.0396763939605775
"2","cv",2,91.4179666148664,0.189851988307645,-4.99983504997274,-1.97779822545604,1,0.120745019443863
"3","cv",3,92.5659522552943,0.22771371748836,-4.9999985151751,-1.93970756315614,1,0.109703731507482
"4","cv",4,85.9676147159985,0.184431560931033,-4.99999969568538,-1.95690676433775,1,0.173166323814506
"5","cv",5,91.2576417898858,0.215977518004405,-4.99995464404147,-1.93904357179313,1,0.122287018310069
"6","cv",6,87.6796932916155,0.199463643689638,-4.99994780147337,-1.94562967747618,1,0.156699608676807
"7","cv",7,91.142998877457,0.218221824064672,-4.99983177345987,-1.99468048615434,1,0.123389650051629
"8","cv",8,97.0963977479226,0.226325634814371,-4.99999950949348,-1.99122761657174,1,0.066130056539265
"9","cv",1,57.5738827321091,-0.841378238054705,-0.643223215060276,-4.99999029324815,2,0.446256299317757
"10","cv",2,107.967358151546,-0.809539327132181,-0.648429587908836,-4.9999886995563,2,-0.0384264812207868
"11","cv",3,57.5920462135755,-0.847509520451739,-0.651070688730018,-4.99999868210849,2,0.446081603553511
"12","cv",4,36.6557348912357,-0.84927108539445,-0.639048385663418,-4.99988097212205,2,0.647446353681825
"13","cv",5,57.8459011821248,-0.844846079721771,-0.642507218525548,-4.99997973518743,2,0.443640034858637
"14","cv",6,42.6757181979595,-0.852060315771127,-0.637376238247563,-4.99999995210705,2,0.58954635326286
"15","cv",7,74.8101072354809,-0.83968768856116,-0.645112666467826,-4.99979768930617,2,0.280478861886668
"16","cv",8,90.6492740829667,-0.841342185091321,-0.635249656331505,-4.99999692278433,2,0.12813827880213
"17","cv",1,97.1076419472378,-0.159763348119513,-0.489617483326202,-1.57615337578805,3,0.066021910201993
"18","cv",2,99.6832981954115,-0.0994613575312116,-0.238086901561807,-1.40764858435851,3,0.0412493335601605
"19","cv",3,94.5923150273907,-0.175651671272126,-0.487176539806721,-1.52192312547611,3,0.0902142413585124
"20","cv",4,98.084896223663,-0.0352199036887911,-0.283187675705735,-1.41285082134071,3,0.0566227108800852
