"","X","X.1","X.2","par1","par2","par3"
"1","cv",1,105.004950554788,-0.790103585790224,-3.33865313995916,-1.73245720057034
"2","cv",2,103.316671364797,-1.40221559957887,-3.43292286773663,-1.6558587444682
"3","cv",3,104.053408064161,-4.99999985733266,-4.15169436990075,-1.62753747930765
"4","cv",4,100.889560787219,-0.652369796294923,-3.69032947329799,-1.41096238758672
"5","cv",5,103.559628227269,-4.99999981697945,-3.41607819356493,-1.64895886193441
"6","cv",6,103.619511205622,-0.0842075380019285,-3.59413584980117,-1.69635474530869
"7","cv",7,102.903689902395,-4.99999951428571,-4.69345043475188,-1.44029340127151
"8","cv",8,104.949158217732,-0.55717151399607,-3.31564486028685,-1.7919895314991
"9","cv",1,98.0411177847677,0.706216465593339,2.41260142511702,-4.98403913303876
"10","cv",2,98.0411177847677,-2.34950747064417,1.47772399047547,-1.56864796249131
"11","cv",3,98.0411177847677,-1.33536475855969,1.38150095461623,-1.89420487830204
"12","cv",4,98.0411177847677,-1.30147883978795,4.68511115605604,-0.520470826128034
"13","cv",5,98.0411177847677,-0.658962863518813,4.2621823405419,-3.3352947793901
"14","cv",6,98.0411177847677,-0.684855901229486,3.75760841033982,-3.84132014412757
"15","cv",7,98.0411177847677,-4.87798090092838,3.01496445837317,-2.22680504439818
"16","cv",8,98.0411177847677,1.43465007647277,1.63668323101452,-4.37040933696513
"17","cv",1,105.996437169775,2.42396601814919,-0.87246142450217,-4.88659603774838
"18","cv",2,98.7366182958011,0.0680420887497557,-1.39551749188334,-1.78625121734122
"19","cv",3,100.361296374732,-0.0156763553933123,-1.35426978787337,-1.76075827249671
"20","cv",4,100.126933572683,-0.0415939205509418,-1.32361021821883,-1.67573463289002
"21","cv",5,101.551332396028,0.10444716827653,-1.51854399209573,-2.03665012082789
"22","cv",6,100.748130762969,0.0331141914723858,-1.41041406193465,-1.83601173719227
"23","cv",7,99.0371578415278,0.0929232631661976,-1.42490549271009,-1.8178633195896
"24","cv",8,102.922841300354,0.254436342890532,-1.68767423182702,-2.29226470435925
"25","cv",1,98.0411177847677,0.111190241237776,3.06446495192884,-0.724602997107464
"26","cv",2,98.0411177847677,-1.56964871826342,3.64307916327766,-4.3974292964996
"27","cv",3,98.0411177847677,-1.75224412169479,3.19646495622444,-3.63828417669365
"28","cv",4,98.0411177847677,-1.15057799215099,3.5308141766632,-2.6039280355118
"29","cv",5,98.0411177847677,-3.39152145631793,-0.104125581243797,-4.25238744161793
"30","cv",6,98.0411177847677,-1.51382873843857,0.456057748885015,-3.7693223774434
"31","cv",7,98.0411177847677,-2.73533740459195,2.5730221857755,-2.77743437482149
"32","cv",8,98.0411177847677,-4.26967205391775,1.83117355785289,-4.9795804707481
"33","cv",1,98.0411177847677,-1.71421897901906,3.44570816833087,-2.44464434014262
"34","cv",2,98.0411177847677,-2.09847286263416,4.20001977929204,-4.35436477300132
"35","cv",3,98.0411177847677,-3.60372918801652,2.27948302722146,-4.21007587000651
"36","cv",4,98.0411177847677,-4.3792208898793,1.52319244192945,-1.99871931863761
"37","cv",5,98.0411177847677,-4.16354421338247,2.47459361141327,-1.76318052323452
"38","cv",6,98.0411177847677,-1.61352908996039,3.02547167107711,0.178953174035996
"39","cv",7,98.0411177847677,-1.50016402147828,1.65016634723285,-3.1069635372021
"40","cv",8,98.0411177847677,-2.73415678723691,2.05546824073689,-2.47411270396808
"41","cv",1,98.0411177847677,-1.04135056146295,2.11523581274293,-2.79479320469607
"42","cv",2,98.0411177847677,0.0769897543436208,1.73836572207681,-2.50531408756395
"43","cv",3,98.0411177847677,-4.92957324699307,1.0753858695203,-3.91855008789242
"44","cv",4,98.0411177847677,-1.96376741645833,4.12566362453548,-3.44724936912809
"45","cv",5,98.0411177847677,0.154297434149978,2.19519802859528,-2.43766724708476
"46","cv",6,98.0411177847677,-0.388544564021736,1.9118242837932,-1.77138213594809
"47","cv",7,98.0411177847677,-0.0609360079316843,4.16675985584227,-3.33640149741525
"48","cv",8,98.0411177847677,-4.12384783378053,4.29964714303391,-2.32191393870096
"49","cv",1,77.4066195914734,0.499585372808539,-2.16700661393629,-3.59013653536038
"50","cv",2,100.139407590651,0.4640367898412,-2.20410507213589,-3.62242120902812
"51","cv",3,97.9968896410243,-4.99998683812619,-2.49564990836227,-3.36725406105362
"52","cv",4,95.6268211349315,0.66723657172252,-2.15968625573953,-3.62429307459394
"53","cv",5,88.2056058808296,0.568664505707719,-2.10527529717865,-3.74983922494065
"54","cv",6,67.7994807804803,0.661215765608345,-2.09031144840742,-3.67745586278148
"55","cv",7,98.7331701176547,-4.99999357587893,-2.56029679403599,-3.29560310586287
"56","cv",8,55.3078807619287,0.546813357349142,-2.15650929890558,-3.56726054484995
"57","cv",1,63.094247200814,1.07434768944432,-3.44489879798739,-3.28547378594683
"58","cv",2,90.3563353869302,1.07556004187638,-3.30121635181027,-3.30832450349547
"59","cv",3,89.5235386433049,0.915822754858418,-3.14084526644969,-3.35512574994971
