"","X","X.1","X.2","par1","par2","par3","id","lambda","beta","tau"
"1","cv",1,28.5692067834989,0.199178842521801,-1.97503080583238,-4.92041365816036,1,1.22040020583442,0.138757037651071,0.00729611212615253
"2","cv",2,24.2015701092899,0.197698403912665,-1.96810446249408,-4.99077252831038,1,1.21859481496602,0.139721452613437,0.00680040895402675
"3","cv",3,6.95377847075896,0.207310750160664,-1.95527970630345,-4.9687463065977,1,1.23036484845574,0.141524885754834,0.00695185807234597
"4","cv",4,32.6399814274086,0.211113368294779,-1.94189642291339,-4.99999994852692,1,1.23505236290536,0.143431684561196,0.00673794734590836
"5","cv",5,28.4157924749918,0.212445312706394,-1.96522920512441,-4.99999997146758,1,1.23669848002307,0.14012376584965,0.0067379471913354
"6","cv",6,34.3777214470389,0.155333894953293,-1.9658375302662,-4.9847187639231,1,1.16804790130142,0.140038550961728,0.00684170189031639
"7","cv",7,2.22979135130981,0.2003982653669,-1.96865823447986,-4.98762067218959,1,1.22188929745723,0.139644100206942,0.00682187667842961
"8","cv",8,10.2749668566541,0.197052587992793,-1.97790175916749,-4.97660925764027,1,1.21780808110461,0.138359243967838,0.00689741029330246
"9","cv",1,104.531660959715,-2.9854003741204,-4.99999999993087,-1.30993445385682,2,0.0505192728900422,0.00673794699955126,0.269837742628362
"10","cv",2,103.582577155679,-3.53660999589371,-4.99999999997836,-1.10233873416287,2,0.0291118492811198,0.00673794699923127,0.332093496362266
"11","cv",3,103.265752548601,-3.41027094533198,-4.99999999992973,-1.04924915027369,2,0.0330322492295725,0.00673794699955894,0.350200598442126
"12","cv",4,103.260616214739,-2.52986902401901,-4.99999999999902,-1.11246918463341,2,0.0796694543875181,0.00673794699909207,0.328746222965855
"13","cv",5,103.459307326843,-3.52254878349796,-4.99999999958227,-1.06386829296396,2,0.029524088677722,0.00673794700190011,0.345118206546244
"14","cv",6,103.662515280123,-3.55396161187203,-4.99999999996847,-1.23016434152173,2,0.0286110688909426,0.00673794699929792,0.292244545820776
"15","cv",7,104.348773826913,-2.74799784587506,-4.99999999977838,-1.26917133940377,2,0.0640559828545648,0.00673794700057873,0.281064432324664
"16","cv",8,104.903193734896,1.80799596845792,4.9999919172528,4.62318084726703,2,6.09821416486125,148.411959521378,101.817383136715
"17","cv",1,103.688215368869,2.47365413958783,3.34263702590142,2.25399739929782,3,11.8657267499481,28.2936394763201,9.52573800925463
"18","cv",2,105.925300686933,2.2651040518511,0.802296081440146,0.0744384464804497,3,9.63212678959208,2.23065682271998,1.07727903116549
"19","cv",3,104.173541781198,-1.14966454346777,3.83076506888755,4.99999932354078,3,0.316743005069418,46.0977927334397,148.413058707161
"20","cv",4,104.862922939123,-1.11937989686484,4.04363866999398,4.99987157777688,3,0.326482184491435,57.0334917586902,148.394100778527
"21","cv",5,103.41946559963,2.43913078638591,2.78882642631558,1.94597421613608,3,11.4630725524572,16.2619240327312,7.00044848393174
"22","cv",6,104.251041856707,2.32680493253277,2.76797239997419,1.63655183133938,3,10.2451552215512,15.9263090651676,5.13742423022747
"23","cv",7,104.223052586025,-0.5208277431942,3.86818287779179,4.9999925281527,3,0.594028641247107,47.8553480097127,148.412050186257
"24","cv",8,105.173285219502,2.1519280501946,2.02273206152628,0.987809189191845,3,8.60142640192111,7.55894826045663,2.68534494056055
"25","cv",1,104.191464561424,-3.93507230768035,-1.99172216638071,-0.653807335981552,4,0.0195442860743907,0.136460215772653,0.520061952031202
"26","cv",2,104.189538355022,-4.64134701560886,-2.11684979015323,-0.727155940873584,4,0.00964469731586491,0.12041034954168,0.48328151860253
"27","cv",3,104.135788091194,-3.13310443725264,-2.15537670838939,-0.725267376100924,4,0.0435822885423312,0.11585953713145,0.484195089451167
"28","cv",4,104.0959431856,-2.46805723056144,-2.18461179990248,-0.711910504957731,4,0.0847493476105826,0.112521405997719,0.490705805470981
"29","cv",5,103.771213816341,-4.53467417658002,-2.13673126434342,-0.365742721561163,4,0.0107304028735626,0.118040054837145,0.693681247481985
"30","cv",6,104.751669694816,0.644607905042158,-4.99719259808741,-0.260025872249613,4,1.90523984786064,0.00675688970182617,0.771031637222532
"31","cv",7,103.948332800224,0.538068023484297,-4.99931206016768,0.107404854886998,4,1.71269477769127,0.00674258389598436,1.11338492257259
"32","cv",8,104.273514658838,0.000268342696225349,-2.51421259388956,-0.0574231957923955,4,1.00026837870335,0.0809266092323057,0.944194405704801
"33","cv",1,103.927642147083,4.14999855816295,-4.99999387055427,-0.966305060501468,5,63.4339088366974,0.0067379882990925,0.38048631791458
