"","X","X.1","X.2","par1","par2","par3","id","r2"
"1","cv",1,103.753575532218,-4.99999999972174,2.61128197138805,2.76078352730847,1,0.00210154070113733
"2","cv",2,103.885026261926,-4.9999999998443,-0.467675800900906,2.48580546538591,1,0.000837251928664129
"3","cv",3,104.222672435181,-4.99999999988312,-4.09449096070603,2.19807771087251,1,-0.00241021780286998
"4","cv",4,103.915626184675,-4.99999999889823,3.69882083078154,2.44861913966382,1,0.000542942883320352
"5","cv",5,103.91278684012,-4.99999999995513,-1.40707974620471,2.45217002463144,1,0.00057025160537949
"6","cv",6,104.192856503083,-4.99999999985128,1.0344563311807,2.21527617767211,1,-0.00212344915368812
"7","cv",7,104.171135036722,-4.99999999984318,-0.734375636452268,2.22840328585611,1,-0.00191453280835585
"8","cv",8,103.715484433161,-4.99999999994056,4.4783937075692,3.14441878946706,1,0.00246789963254768
"9","cv",1,98.3276767733787,1.77016281547881,0.964217811766642,-3.08173087711828,2,0.0542876555794243
"10","cv",2,98.3320328552488,2.12936908679323,-3.55082899710635,-3.74460618423565,2,0.0542457589280129
"11","cv",3,102.17845740836,0.895014018873911,-1.18153782244725,-1.89095767073834,2,0.0172509747418323
"12","cv",4,98.3368353850827,1.17661730799321,-2.02655897049674,-2.07887591829297,2,0.0541995683548457
"13","cv",5,98.334030192223,0.987149780496178,-4.59967362027261,-1.81072350617035,2,0.0542265486070285
"14","cv",6,98.3319723864898,2.3500874716358,-3.61400047887991,-4.16813875146991,2,0.0542463405145378
"15","cv",7,98.3327963304186,0.364809759297288,1.94431661463377,-1.12972659812575,2,0.0542384158490707
"16","cv",8,102.17802972942,2.30814596067611,1.78546837615029,-4.2867971579052,2,0.0172550881437379
"17","cv",1,99.6035746320223,-4.99999999405079,-1.65095328068678,0.424505708704261,3,0.0420161121571178
"18","cv",2,103.246411427831,-4.99999999988027,1.00194621759412,0.259951075010489,3,0.00697942828991072
"19","cv",3,99.6035829526081,-4.99999999973434,2.98503146986058,0.424509523900429,3,0.0420160321299987
"20","cv",4,99.6035831543783,-4.99999999991638,-2.16330549567023,0.424509616417179,3,0.0420160301893795
"21","cv",5,101.013929477319,-4.99999999664645,-0.371056197396247,0.349302277673471,3,0.0284513658824294
"22","cv",6,105.022230932182,-4.99999999993059,4.96961544394885,0.184499973296727,3,-0.0101003449930299
"23","cv",7,101.206544885651,-4.99999999945208,3.66078274284817,0.34421793439292,3,0.0265987972531001
"24","cv",8,104.883264666615,-4.99999999894406,1.96630924963981,0.186932889359122,3,-0.00876377204513412
"25","cv",1,100.969100391257,-4.99999999896435,-4.50735824143644,0.0975168948072133,4,0.0288825305500908
"26","cv",2,99.1020871709664,-4.99999999863256,-3.39740430556765,0.181330880358519,4,0.0468394019780067
"27","cv",3,99.1020869838067,-4.99999999802458,4.91205782396719,0.181330782613832,4,0.0468394037781025
"28","cv",4,99.1020920652226,-4.99999997746899,-3.53079999033214,0.181333436282208,4,0.0468393549052123
"29","cv",5,99.102087538311,-4.99999998035371,-2.17241738172437,0.181331072146332,4,0.0468393984448985
"30","cv",6,99.1020891780342,-4.99999991242244,1.88782828788957,0.181331928274295,4,0.0468393826740949
"31","cv",7,117.722117603997,2.22388026729292,3.76071322488841,-3.92320082945569,4,-0.132247435134892
"32","cv",8,101.285180186529,-4.99999999998797,-0.467842166749394,0.0921679670322105,4,0.0258424855289967
"33","cv",1,98.663056416469,2.87406351413923,-3.70901667251245,-4.91707646834529,5,0.051061985260081
"34","cv",2,105.250966970028,1.17457564637941,-2.00786057479175,-2.07513393704934,5,-0.01230032064285
"35","cv",3,101.484568161545,2.82539580526478,-4.83063002739978,-4.94718032944584,5,0.0239247785772069
"36","cv",4,101.434594214947,2.52727566698263,-3.2377923624812,-4.36153066170355,5,0.0244054263434108
"37","cv",5,98.6555662866308,2.88690681772679,-1.47454756352155,-4.94757556989246,5,0.0511340250812355
"38","cv",6,98.6621103171126,2.91042432642938,-0.549025568125704,-4.9896147533072,5,0.0510710848124121
"39","cv",7,98.6530709042934,2.65068760749327,2.36620595680627,-4.48375799582803,5,0.0511580255860574
"40","cv",8,98.6610677246324,2.16485756726036,-0.0728328171631349,-3.53610815660435,5,0.0510811124324178
"41","cv",1,98.0411177847677,-1.95527709250985,2.84047679400389,-4.01464644781766,6,0.0570437704580324
"42","cv",2,98.0411177847677,-1.81646075542641,-4.20151672370166,-4.64617915920913,6,0.0570437704580324
"43","cv",3,98.0411177847677,-3.50547207924817,0.113273844655518,-3.78208718526473,6,0.0570437704580324
"44","cv",4,98.0411177847677,-4.89929018341168,-1.32014554226771,-4.45701137128481,6,0.0570437704580324
"45","cv",5,98.0411177847677,-1.59104970815561,1.15396812383323,-3.10155015642644,6,0.0570437704580324
"46","cv",6,98.0411177847677,-1.34511741183349,0.510158163801026,-4.31495986149429,6,0.0570437704580324
"47","cv",7,98.0411177847677,-1.95125772692851,0.625949625285701,-4.12854866307419,6,0.0570437704580324
"48","cv",8,98.0411177847677,-3.67847558568267,3.5952029685691,-3.64289067534792,6,0.0570437704580324
"49","cv",1,103.972300539658,4.99999996360705,-4.11305131506651,4.9999999642492,7,-2.14918920993235e-06
"50","cv",2,103.972223781173,4.9999999927643,0.304106954663759,4.99999997496411,7,-1.41092863903403e-06
"51","cv",3,103.972273252064,4.99999999968518,-2.78936741542489,4.99999999995396,7,-1.8867380331411e-06
"52","cv",4,103.972145272007,4.99999999002045,2.49259287175168,4.99999998224625,7,-6.55830075801944e-07
