"","","","par1","par2","par3"
"cv",1,25.3728362380196,4.99999999441544,3.55955099487719,-2.51316353381144
"cv",2,209.05506191828,4.99999999941098,3.38360782015194,-3.25609353206517
"cv",3,33.3380964653271,4.99999997794614,3.57577284555305,-2.50812737349227
"cv",4,110.279833195357,4.99999999650945,3.52645556505033,-2.70126185442962
"cv",5,12.1358463057899,4.99999999899459,3.55746709325268,-2.53801424005731
"cv",6,42.9256523406096,4.99999998900089,3.57687258982023,-2.66630211972725
"cv",7,43.6240459311907,4.99999998797937,3.49560573045024,-2.48250758589909
"cv",8,252.235701470209,4.99999993606063,4.49187490580924,-2.25102785987232
