"","","","par1","par2","par3"
"cv",1,127.003073297114,0.0870471102466208,-4.99999867588241,-2.26640684120851
"cv",2,48.742418807922,-0.125894699055681,-4.99999998585927,-1.9728090063108
"cv",3,129.20645143582,0.250549217232181,-4.99999599559209,-2.35537665652988
"cv",4,95.1399556823735,0.20355288475681,-4.99999982507514,-2.23594537269485
"cv",5,78.7780647446767,0.573390337394535,-4.99999956317438,-2.32996191606326
"cv",6,88.847921473933,0.493311845514852,-4.99999977079135,-2.32556725468257
"cv",7,71.3751289443457,0.500222463770444,-4.99999993712145,-2.2888321343771
"cv",8,52.6338283250978,-0.330020246365013,-4.99999990473542,-1.97196567624967
