"","","","par1","par2","par3"
"cv",1,107.723406694981,-0.148922370705345,-1.61246534025049,-2.66651482367678
"cv",2,104.734441817071,-0.17214853894396,-1.61727137384512,-2.61396193739351
"cv",3,125.10567437476,0.232429101567175,-1.29622387401142,-3.51412186392867
"cv",4,88.3242185370263,0.142679918030842,-1.41290142793978,-2.20346326483687
"cv",5,103.15894863802,-0.198451196655201,-1.6280996131921,-2.54300527942642
"cv",6,106.663370649931,-0.209422558531911,-1.63914609235466,-2.58991531644263
"cv",7,108.422661225325,-0.228674360923637,-1.65584809689033,-2.57210012913659
"cv",8,96.6055397028149,0.0526144517563741,-1.47278301529021,-2.67737267364744
