"","","","par1","par2","par3"
"cv",1,102.285920830989,0.117289896055782,3.90459110953196,-4.68641134426471
"cv",2,102.620682923379,-0.0498273889295338,4.04070379858585,-4.82729979563842
"cv",3,103.321858729489,0.116401609401581,3.9063581139363,-4.46247701067477
"cv",4,102.881905009734,0.247985749641178,3.80401996697278,-4.92322638287084
"cv",5,102.53863702943,-0.0755878564041331,4.06269407413949,-4.11066911122653
"cv",6,101.780235118499,0.0313427945382792,3.97296280292838,-4.51119058544126
"cv",7,258.246922302207,-3.91717944169757,2.04237725716412,-1.29878487225229
"cv",8,103.481358174196,-0.989757721270478,4.91155314928793,-4.94976799392204
